customer_id,age group,cltv,customer_status,churn_category,churn_reason,monthly_ charges,total_revenue
0056-EPFBG,20-35,3899,Stayed,Not Applicable,N/A,39.4,825.4
3806-DXQOM,36-50,2563,Churned,Attitude,Attitude of service provider,33.65,137.85
0057-QBUQH,20-35,4797,Stayed,Not Applicable,N/A,25.1,2387.67
3999-WRNGR,36-50,6307,Stayed,Not Applicable,N/A,49.75,3069.45
0058-EVZWM,36-50,5875,Stayed,Not Applicable,N/A,89.8,5239
4030-VPZBD,51-65,2860,Churned,Dissatisfaction,Network reliability,30.9,59.05
0060-FUALY,51-65,5238,Stayed,Not Applicable,N/A,94.75,6564.66
4132-POCZS,36-50,6371,Stayed,Not Applicable,N/A,39.9,2020.9
0064-SUDOG,36-50,5190,Stayed,Not Applicable,N/A,20.3,455.86
4282-ACRXS,Over 65,3511,Stayed,Not Applicable,N/A,24.85,955.75
0064-YIJGF,51-65,4994,Stayed,Not Applicable,N/A,75.75,2611.02
4323-SADQS,51-65,3520,Churned,Dissatisfaction,Service dissatisfaction,34.5,279.25
0067-DKWBL,Over 65,3475,Churned,Competitor,Competitor made better offer,49.25,179.08
4459-BBGHE,51-65,5833,Stayed,Not Applicable,N/A,44.5,1307.8
0068-FIGTF,20-35,2297,Stayed,Not Applicable,N/A,78.2,3399.52
4625-EWPTF,51-65,4549,Churned,Competitor,Competitor had better devices,30.45,226.45
0071-NDAFP,20-35,5230,Stayed,Not Applicable,N/A,25.5,1178.43
4815-GBTCD,51-65,3891,Stayed,Not Applicable,N/A,25.15,99.95
0074-HDKDG,36-50,3807,Stayed,Not Applicable,N/A,61.6,1727.35
5057-LCOUI,20-35,4119,Churned,Attitude,Attitude of support person,50.75,2011.4
0076-LVEPS,51-65,3290,Stayed,Not Applicable,N/A,45,1230.19
5073-WXOYN,51-65,4941,Churned,Competitor,Competitor offered more data,50.8,3027.4
0078-XZMHT,Under 20,6322,Stayed,Not Applicable,N/A,85.15,8646.12
5087-SUURX,36-50,2601,Churned,Dissatisfaction,Lack of self-service on Website,39.05,669.85
0080-EMYVY,51-65,4298,Stayed,Not Applicable,N/A,51.45,1064.41
5204-QZXPU,36-50,2933,Churned,Competitor,Competitor had better devices,39.65,733.35
0080-OROZO,36-50,3244,Stayed,Not Applicable,N/A,99.25,4806.7
5215-LNLDJ,20-35,3872,Stayed,Not Applicable,N/A,24.7,149.05
0082-LDZUE,51-65,4427,Joined,Not Applicable,N/A,44.3,87.25
5233-GEEAX,51-65,5971,Churned,Competitor,Competitor had better devices,29.4,221.9
0082-OQIQY,36-50,4561,Stayed,Not Applicable,N/A,94.2,2687.05
5261-QSHQM,20-35,4909,Churned,Competitor,Competitor made better offer,24.45,86.6
0083-PIVIK,20-35,4761,Stayed,Not Applicable,N/A,81.25,5958.91
5337-IIWKZ,20-35,5569,Stayed,Not Applicable,N/A,44.85,1442.6
0089-IIQKO,20-35,4447,Stayed,Not Applicable,N/A,99.95,4718.22
5378-IKEEG,36-50,3351,Churned,Price,Price too high,35.75,35.75
0093-EXYQL,Over 65,5742,Stayed,Not Applicable,N/A,91.55,5439.2
5590-YRFJT,36-50,3298,Churned,Other,Don't know,24.45,482.8
0093-XWZFY,51-65,2832,Churned,Competitor,Competitor had better devices,104.5,5544.45
5960-MVTUK,51-65,3425,Joined,Not Applicable,N/A,29.75,96.85
0094-OIFMO,Over 65,5980,Churned,Dissatisfaction,Product dissatisfaction,95,1367.79
6137-MFAJN,51-65,2469,Stayed,Not Applicable,N/A,44.8,2104.55
0096-BXERS,20-35,3442,Stayed,Not Applicable,N/A,50.35,570.51
6339-DKLMK,20-35,4959,Stayed,Not Applicable,N/A,31.65,389.95
0096-FCPUF,51-65,5039,Stayed,Not Applicable,N/A,64.5,1967.65
6537-QLGEX,20-35,3300,Stayed,Not Applicable,N/A,38.9,664.4
0098-BOWSO,20-35,3792,Stayed,Not Applicable,N/A,19.4,1087.62
6581-NQCBA,36-50,4840,Churned,Other,Don't know,49.95,810.2
0100-DUVFC,Over 65,5291,Stayed,Not Applicable,N/A,104.8,10067.14
6637-KYRCV,20-35,5973,Stayed,Not Applicable,N/A,30.5,167.2
0103-CSITQ,20-35,6026,Stayed,Not Applicable,N/A,109.4,6709.27
6702-OHFWR,Over 65,4972,Churned,Other,Poor expertise of online support,43.3,43.3
0104-PPXDV,51-65,5232,Stayed,Not Applicable,N/A,50.3,3933.78
6834-NXDCA,20-35,2967,Churned,Dissatisfaction,Limited range of services,23.9,300.8
0106-GHRQR,20-35,3360,Stayed,Not Applicable,N/A,71.4,1623.46
7074-STDCN,20-35,4436,Stayed,Not Applicable,N/A,40.6,1494.5
0106-UGRDO,51-65,4216,Stayed,Not Applicable,N/A,116,10840.73
7078-NVFAM,51-65,3163,Stayed,Not Applicable,N/A,35.15,1051.05
0107-WESLM,20-35,3874,Churned,Attitude,Attitude of support person,19.85,51.62
7273-TEFQD,Over 65,2314,Churned,Price,Long distance charges,41.15,132.2
0107-YHINA,51-65,4214,Churned,Competitor,Competitor had better devices,99.75,140.46
7365-BVCJH,36-50,3145,Joined,Not Applicable,N/A,24.4,24.4
0111-KLBQG,Over 65,2844,Stayed,Not Applicable,N/A,93.95,3880.97
7384-GHBPI,51-65,2987,Churned,Attitude,Attitude of support person,35.15,99.75
0112-QAWRZ,36-50,5560,Stayed,Not Applicable,N/A,90.8,2221.56
7590-VHVEG,36-50,3964,Joined,Not Applicable,N/A,29.85,29.85
0112-QWPNC,51-65,6452,Churned,Competitor,Competitor offered higher download speeds,84.35,5997.3
7634-WSWDB,20-35,4194,Stayed,Not Applicable,N/A,38.5,330.8
0114-IGABW,36-50,5224,Stayed,Not Applicable,N/A,58.25,4145.9
7802-EFKNY,36-50,5865,Churned,Competitor,Competitor had better devices,24.95,100.4
0114-PEGZZ,36-50,4800,Stayed,Not Applicable,N/A,107.55,5285.27
7853-OETYL,36-50,3306,Stayed,Not Applicable,N/A,29.05,129.6
0114-RSRRW,20-35,3831,Stayed,Not Applicable,N/A,19.95,683.75
7881-EVUAD,36-50,4648,Churned,Competitor,Competitor offered more data,42.6,72.4
0115-TFERT,20-35,4123,Churned,Attitude,Attitude of service provider,111.2,3198.56
7895-VONWT,20-35,4284,Stayed,Not Applicable,N/A,48.25,1293.8
0117-LFRMW,51-65,3627,Churned,Competitor,Competitor offered more data,40.2,1448.8
7932-WPTDS,Over 65,5377,Churned,Competitor,Competitor made better offer,24.8,24.8
0118-JPNOY,Over 65,5700,Stayed,Not Applicable,N/A,85.8,3070.89
7989-AWGEH,20-35,4810,Stayed,Not Applicable,N/A,39.2,1838.15
0121-SNYRK,36-50,5052,Stayed,Not Applicable,N/A,35.4,1748.9
8066-POXGX,20-35,3104,Churned,Attitude,Attitude of service provider,35.1,446.1
0122-OAHPZ,20-35,2473,Churned,Competitor,Competitor made better offer,73.85,698.56
8158-WPEZG,20-35,4986,Stayed,Not Applicable,N/A,35.65,425.1
0123-CRBRT,51-65,5152,Stayed,Not Applicable,N/A,88.1,8405.34
8348-HFYIV,20-35,5775,Churned,Dissatisfaction,Limited range of services,49.25,90.35
0125-LZQXK,36-50,3025,Churned,Attitude,Attitude of service provider,101.35,2242.75
8645-KWHJO,36-50,4900,Stayed,Not Applicable,N/A,55,771.95
0128-MKWSG,51-65,3287,Stayed,Not Applicable,N/A,45.8,1147
8650-RHRKE,20-35,4207,Churned,Dissatisfaction,Limited range of services,29.65,118.5
0129-KPTWJ,36-50,5943,Stayed,Not Applicable,N/A,94.65,9139.19
8718-PTMEZ,36-50,5131,Churned,Other,Don't know,31.05,347.25
0129-QMPDR,51-65,3093,Stayed,Not Applicable,N/A,20.5,2070.65
8807-ARQET,51-65,2454,Stayed,Not Applicable,N/A,40.35,1677.85
0130-SXOUN,51-65,4889,Stayed,Not Applicable,N/A,89.4,9200.36
8919-FYFQZ,Over 65,4829,Churned,Competitor,Competitor had better devices,30.35,1359.7
0133-BMFZO,36-50,3529,Churned,Competitor,Competitor offered higher download speeds,86.25,255.27
8992-JQYUN,36-50,4526,Churned,Competitor,Competitor offered more data,50.35,50.35
0134-XWXCE,Over 65,3253,Stayed,Not Applicable,N/A,74.85,3589.82
9206-GVPEQ,20-35,5212,Churned,Dissatisfaction,Network reliability,54.45,706.85
0135-NMXAP,51-65,5671,Churned,Attitude,Attitude of support person,89.75,1224.96
9239-ZBZZV,20-35,2240,Churned,Competitor,Competitor had better devices,47.95,305.1
0136-IFMYD,Over 65,4297,Stayed,Not Applicable,N/A,109.95,8904.54
9281-PKKZE,36-50,4818,Stayed,Not Applicable,N/A,43.95,2007.85
0137-OCGAB,20-35,3056,Churned,Price,Lack of affordable download/upload speed,80.2,81.43
9501-UKKNL,36-50,6107,Stayed,Not Applicable,N/A,51.7,3005.8
0137-UDEUO,20-35,3398,Churned,Price,Long distance charges,19.85,141
9572-WUKSB,20-35,4416,Joined,Not Applicable,N/A,29.9,92.25
0139-IVFJG,Under 20,5361,Joined,Not Applicable,N/A,90.35,199.8
9591-YVTEB,Over 65,5829,Stayed,Not Applicable,N/A,44.85,2479.05
0141-YEAYS,Over 65,5990,Stayed,Not Applicable,N/A,86.45,2481.24
9693-XMUOB,51-65,5546,Stayed,Not Applicable,N/A,50.25,2997.45
0142-GVYSN,51-65,5712,Stayed,Not Applicable,N/A,20.3,858.09
9839-ETQOE,36-50,3176,Stayed,Not Applicable,N/A,40.45,1912.85
0147-ESWWR,Over 65,3172,Stayed,Not Applicable,N/A,101.25,4735
0601-WZHJF,51-65,5360,Churned,Attitude,Attitude of service provider,46.35,667.7
0148-DCDOS,36-50,5641,Churned,Competitor,Competitor had better devices,94.7,3234.1
0612-RTZZA,Over 65,4628,Churned,Price,Price too high,25.25,25.25
0151-ONTOV,36-50,4739,Churned,Competitor,Competitor had better devices,70.9,110.71
0616-ATFGB,Over 65,2119,Churned,Competitor,Competitor had better devices,25.05,25.05
0156-FVPTA,36-50,5102,Churned,Attitude,Attitude of service provider,54.2,1751.98
0668-OGMHD,20-35,3766,Stayed,Not Applicable,N/A,28.5,629.35
0164-APGRB,51-65,4589,Stayed,Not Applicable,N/A,114.9,11979.34
0749-IRGQE,Over 65,4118,Stayed,Not Applicable,N/A,45.3,528.45
0164-XAIRP,51-65,2511,Stayed,Not Applicable,N/A,19.55,725.56
0804-XBFBV,36-50,5916,Stayed,Not Applicable,N/A,25.2,321.05
0168-XZKBB,20-35,5072,Stayed,Not Applicable,N/A,86.85,1713.36
1442-BQPVU,20-35,2876,Stayed,Not Applicable,N/A,29.15,357.15
0174-QRVVY,20-35,5747,Stayed,Not Applicable,N/A,25.35,2500.75
2586-CWXVV,36-50,4778,Stayed,Not Applicable,N/A,30.4,1621.35
0177-PXBAT,Over 65,5655,Stayed,Not Applicable,N/A,109.9,4524.65
2592-SEIFQ,36-50,3503,Churned,Competitor,Competitor offered higher download speeds,24.75,66.95
0178-CIIKR,51-65,5949,Joined,Not Applicable,N/A,19.95,66.07
2770-NSVDG,20-35,4636,Stayed,Not Applicable,N/A,29.1,688
0178-SZBHO,51-65,3760,Stayed,Not Applicable,N/A,87.2,4068.68
2911-UREFD,36-50,5632,Churned,Dissatisfaction,Lack of self-service on Website,55.9,2184.35
0181-RITDD,36-50,5298,Stayed,Not Applicable,N/A,108.15,6934.77
2969-QWUBZ,51-65,2580,Joined,Not Applicable,N/A,51.4,96.8
0186-CAERR,20-35,4644,Stayed,Not Applicable,N/A,116.3,8514.03
3317-HRTNN,Over 65,3561,Churned,Competitor,Competitor made better offer,45.7,198
0187-QSXOE,Over 65,5711,Stayed,Not Applicable,N/A,89,899.24
3841-CONLJ,20-35,4099,Joined,Not Applicable,N/A,35,35
0187-WZNAB,51-65,4331,Stayed,Not Applicable,N/A,74.4,3232.17
4195-NZGTA,36-50,5858,Joined,Not Applicable,N/A,25.25,25.25
0188-GWFLE,20-35,4978,Joined,Not Applicable,N/A,20.05,37.32
4236-UJPWO,20-35,5786,Joined,Not Applicable,N/A,24.5,46.4
0191-EQUUH,20-35,2754,Stayed,Not Applicable,N/A,35.05,844.45
4307-KWMXE,51-65,2263,Stayed,Not Applicable,N/A,35.75,389.8
0191-ZHSKZ,Over 65,3033,Stayed,Not Applicable,N/A,74.75,3269.6
4439-YRNVD,20-35,4571,Stayed,Not Applicable,N/A,36.25,374
0193-ESZXP,Over 65,5067,Churned,Attitude,Attitude of support person,105.5,7188.02
4501-VCPFK,20-35,2734,Stayed,Not Applicable,N/A,35.75,1022.5
0195-IESCP,20-35,3573,Churned,Competitor,Competitor offered more data,85.25,975.5
4581-LNWUM,36-50,3000,Stayed,Not Applicable,N/A,49.15,649.4
0196-JTUQI,51-65,5841,Stayed,Not Applicable,N/A,75.2,717.28
4729-XKASR,51-65,3001,Churned,Competitor,Competitor had better devices,24.75,24.75
0196-VULGZ,Over 65,5721,Churned,Other,Deceased,84.35,647.16
4950-BDEUX,36-50,2782,Stayed,Not Applicable,N/A,49.2,1701.65
0197-PNKNK,36-50,5629,Stayed,Not Applicable,N/A,84.45,8574.08
5480-HPRRX,Over 65,3542,Churned,Attitude,Attitude of support person,25.3,77.75
0201-MIBOL,Over 65,4861,Stayed,Not Applicable,N/A,102.4,7161.55
5482-PLVPE,Over 65,3278,Churned,Competitor,Competitor had better devices,24.35,41.85
0201-OAMXR,20-35,4838,Churned,Dissatisfaction,Network reliability,115.55,8842.3
5882-CMAZQ,51-65,5100,Stayed,Not Applicable,N/A,34.25,163.55
0203-HHYIJ,51-65,3779,Churned,Price,Long distance charges,25.3,815.6
6235-VDHOM,Over 65,4099,Churned,Dissatisfaction,Limited range of services,28.45,131.05
0206-OYVOC,51-65,5596,Stayed,Not Applicable,N/A,19.25,1983.38
6907-CQGPN,36-50,2555,Stayed,Not Applicable,N/A,34.3,1004.75
0206-TBWLC,51-65,4488,Stayed,Not Applicable,N/A,114.65,6665.1
7615-ESMYF,20-35,5482,Churned,Competitor,Competitor made better offer,44.6,97.1
0207-MDKNV,51-65,2122,Churned,Competitor,Competitor made better offer,105.1,1918.6
7854-FOKSF,51-65,4747,Churned,Competitor,Competitor offered higher download speeds,35.9,35.9
0208-BPQEJ,36-50,3713,Stayed,Not Applicable,N/A,19.4,297.1
8108-UXRQN,20-35,3443,Stayed,Not Applicable,N/A,50.55,565.35
8167-GJLRN,Under 20,3108,Joined,Not Applicable,N/A,30.4,82.15
0214-JHPFW,20-35,5640,Stayed,Not Applicable,N/A,57.8,4038.29
8665-UTDHZ,20-35,2915,Churned,Competitor,Competitor had better devices,30.2,30.2
0215-BQKGS,51-65,5393,Stayed,Not Applicable,N/A,84.3,3310.5
8671-KKKOS,36-50,5565,Stayed,Not Applicable,N/A,45.55,2062.15
0218-QNVAS,20-35,5876,Stayed,Not Applicable,N/A,100.55,9108.9
8676-OOQEJ,51-65,3030,Stayed,Not Applicable,N/A,30.5,118.4
0219-QAERP,20-35,4006,Stayed,Not Applicable,N/A,19.8,870.95
8756-RDDLT,51-65,5750,Stayed,Not Applicable,N/A,44.95,3085.35
0219-YTZUE,20-35,4939,Churned,Competitor,Competitor made better offer,84.8,486.98
8993-PHFWD,51-65,2088,Churned,Competitor,Competitor had better devices,25.25,58.9
0220-EBGCE,51-65,3273,Churned,Competitor,Competitor made better offer,85.85,195.58
9227-LUNBG,36-50,5768,Churned,Price,Price too high,24.6,24.6
0221-NAUXK,20-35,3044,Stayed,Not Applicable,N/A,19.95,298.1
9514-JDSKI,Over 65,5828,Churned,Dissatisfaction,Limited range of services,40.2,40.2
0221-WMXNQ,Over 65,4033,Stayed,Not Applicable,N/A,75.35,419
9743-DQKQW,20-35,2013,Joined,Not Applicable,N/A,25.1,79.8
0222-CNVPT,Over 65,4865,Stayed,Not Applicable,N/A,48.8,2555.05
0224-HJAPT,20-35,2857,Churned,Competitor,Competitor made better offer,47.15,333.2
0274-JKUJR,20-35,3332,Stayed,Not Applicable,N/A,58.85,465.7
0224-NIJLP,20-35,3899,Stayed,Not Applicable,N/A,20.15,188.46
0282-NVSJS,Over 65,3353,Stayed,Not Applicable,N/A,29.3,355.9
0224-RLWWD,Over 65,3805,Joined,Not Applicable,N/A,44.3,137.12
0420-BWTPW,36-50,5578,Churned,Attitude,Attitude of support person,25.5,215.2
0225-ZORZP,36-50,5828,Joined,Not Applicable,N/A,84.3,276.21
0786-VSSUD,Over 65,5692,Churned,Competitor,Competitor had better devices,39,679.85
0228-MAUWC,36-50,3949,Stayed,Not Applicable,N/A,59.55,1369.75
0836-SEYLU,51-65,4800,Churned,Competitor,Competitor had better devices,40.65,328.95
0229-LFJAF,51-65,4262,Stayed,Not Applicable,N/A,69.65,5171.77
0909-SDHNU,20-35,4236,Stayed,Not Applicable,N/A,29.8,201.95
0230-UBYPQ,Over 65,5089,Stayed,Not Applicable,N/A,36.1,2298.9
0953-LGOVU,Under 20,2562,Stayed,Not Applicable,N/A,35.5,432.25
0230-WEQUW,36-50,5500,Stayed,Not Applicable,N/A,56.6,3789.2
0975-VOOVL,20-35,4699,Joined,Not Applicable,N/A,29.2,98.5
0231-LXVAP,20-35,3389,Churned,Competitor,Competitor made better offer,75.9,120.46
1100-DDVRV,20-35,5575,Stayed,Not Applicable,N/A,49.8,836.35
0233-FTHAV,20-35,5687,Stayed,Not Applicable,N/A,79.2,5682.4
1496-GGSUK,Over 65,4095,Churned,Attitude,Attitude of service provider,25.7,25.7
0234-TEVTT,36-50,5269,Stayed,Not Applicable,N/A,45,2196.3
1777-JYQPJ,Under 20,2515,Joined,Not Applicable,N/A,24.3,38.45
0235-KGSLC,36-50,3967,Churned,Other,Moved,85.55,118.89
1816-FLZDK,20-35,3923,Joined,Not Applicable,N/A,29.15,29.15
0236-HFWSV,36-50,5264,Churned,Competitor,Competitor had better devices,93.35,2178.6
1976-AZZPJ,36-50,5100,Stayed,Not Applicable,N/A,34.2,256.6
0237-YFUTL,51-65,4676,Stayed,Not Applicable,N/A,109.65,7134.3
2049-BAFNW,51-65,3929,Joined,Not Applicable,N/A,35.9,35.9
0238-WHBIQ,20-35,4193,Stayed,Not Applicable,N/A,89.7,8769.3
2108-XWMPY,20-35,2095,Churned,Other,Moved,35.45,106.85
0239-OXEXL,36-50,3509,Stayed,Not Applicable,N/A,84.25,5938.02
2309-OSFEU,36-50,2529,Churned,Attitude,Attitude of support person,33.9,298.45
0244-LGNFY,20-35,6342,Stayed,Not Applicable,N/A,92.65,8893
2782-JEEBU,36-50,3378,Stayed,Not Applicable,N/A,36,780.15
0247-SLUJI,36-50,2004,Joined,Not Applicable,N/A,19.7,53.98
2933-FILNV,51-65,2635,Churned,Dissatisfaction,Lack of self-service on Website,24.4,36.55
0248-IPDFW,Under 20,5617,Joined,Not Applicable,N/A,50.1,79.23
3016-KSVCP,36-50,3664,Stayed,Not Applicable,N/A,33.75,1009.25
0248-PGHBZ,Over 65,5857,Stayed,Not Applicable,N/A,92.45,6313.04
3055-MJDSB,20-35,2323,Stayed,Not Applicable,N/A,24.6,190.1
0253-ZTEOB,36-50,3246,Stayed,Not Applicable,N/A,79.65,4299.42
3307-TLCUD,36-50,4207,Stayed,Not Applicable,N/A,34.4,592.75
0254-FNMCI,Under 20,5234,Stayed,Not Applicable,N/A,109.9,10641.72
3439-GVUSX,36-50,4570,Joined,Not Applicable,N/A,24.4,24.4
0254-KCJGT,51-65,4628,Stayed,Not Applicable,N/A,81.4,6504.13
3472-OAOOR,20-35,3422,Stayed,Not Applicable,N/A,34.95,610.2
0254-WWRKD,36-50,5122,Stayed,Not Applicable,N/A,50.55,6574.05
3594-KADLU,20-35,3610,Joined,Not Applicable,N/A,35.1,101.1
0256-LTHVJ,51-65,5201,Churned,Competitor,Competitor had better devices,81.05,2698.9
3669-LVWZB,20-35,4630,Churned,Price,Long distance charges,51,305.95
0257-KXZGU,20-35,5442,Stayed,Not Applicable,N/A,62.45,3110.51
3751-KTZEL,51-65,3706,Churned,Competitor,Competitor offered higher download speeds,35.05,35.05
0257-ZESQC,Over 65,4517,Churned,Attitude,Attitude of support person,75.2,2118.89
3815-SLMEF,20-35,2802,Churned,Competitor,Competitor offered higher download speeds,34.25,139.35
0258-NOKBL,20-35,5625,Joined,Not Applicable,N/A,90.4,362.89
4177-JPDFU,20-35,3215,Stayed,Not Applicable,N/A,34,442.45
0259-GBZSH,20-35,3878,Churned,Competitor,Competitor made better offer,85.65,262.36
4367-NHWMM,36-50,5318,Joined,Not Applicable,N/A,24.9,24.9
0260-ZDLGK,36-50,3585,Churned,Competitor,Competitor made better offer,72.9,970.81
4430-UZIPO,36-50,5825,Churned,Competitor,Competitor made better offer,36.85,108.7
0263-FJTQO,51-65,4022,Stayed,Not Applicable,N/A,70.5,5711.15
4712-AUQZO,51-65,5388,Stayed,Not Applicable,N/A,33.6,550.35
0264-CNITK,36-50,5043,Stayed,Not Applicable,N/A,20.1,3592.73
4718-DHSMV,20-35,2534,Stayed,Not Applicable,N/A,35.8,363.15
0265-EDXBD,Over 65,4105,Churned,Attitude,Attitude of support person,74.9,3818.23
4819-HJPIW,20-35,2675,Stayed,Not Applicable,N/A,25.15,476.8
0265-PSUAE,51-65,3337,Stayed,Not Applicable,N/A,100.7,1959.02
5154-VEKBL,20-35,3032,Churned,Competitor,Competitor offered higher download speeds,58.5,539.85
0266-CLZKZ,36-50,6383,Stayed,Not Applicable,N/A,105.65,7909.83
5156-UMKOW,36-50,5880,Joined,Not Applicable,N/A,29.65,90.05
0266-GMEAO,36-50,5879,Stayed,Not Applicable,N/A,114.3,9206.23
5180-UCIIQ,Over 65,2061,Churned,Other,Moved,40.05,880.2
0268-QKIWO,36-50,2647,Churned,Attitude,Attitude of support person,19.75,132.74
5349-AZPEW,36-50,2071,Stayed,Not Applicable,N/A,25.05,125.5
0269-XFESX,20-35,4031,Stayed,Not Applicable,N/A,24.35,1642.96
5351-QESIO,51-65,4276,Joined,Not Applicable,N/A,24.2,24.2
0270-THENM,51-65,6233,Stayed,Not Applicable,N/A,69.85,7119.75
5650-VDUDS,36-50,2038,Churned,Competitor,Competitor made better offer,24.25,96.05
5999-LCXAO,36-50,4155,Joined,Not Applicable,N/A,29.9,29.9
